Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales (in millions),EU_Sales (in millions),JP_Sales (in millions),Other_Sales (in millions),Global_Sales (in millions),Critic_Score,User_Score,Developer,Rating
 Tales of Xillia 2,PS3,1970,Role-Playing,Namco Bandai Games,0.2,0.12,0.45,0.07,0.84,71.0,79.0,Bandai Namco Games,T
.hack//Infection Part 1,PS2,1970,Role-Playing,Atari,0.49,0.38,0.26,0.13,1.27,75.0,85.0,CyberConnect2,T
.hack//Mutation Part 2,PS2,1970,Role-Playing,Atari,0.23,0.18,0.2,0.06,0.68,76.0,89.0,CyberConnect2,T
.hack//Outbreak Part 3,PS2,1970,Role-Playing,Atari,0.14,0.11,0.17,0.04,0.46,70.0,87.0,CyberConnect2,T
[Prototype 2],X360,1970,Action,Activision,0.48,0.24,0.0,0.07,0.79,74.0,70.0,Radical Entertainment,M
[Prototype 2],PS3,1970,Action,Activision,0.36,0.28,0.0,0.1,0.74,79.0,68.0,Radical Entertainment,M
[Prototype 2],PC,1970,Action,Activision,0.07,0.03,0.0,0.01,0.11,76.0,64.0,Radical Entertainment,M
[Prototype],X360,1970,Action,Activision,0.84,0.35,0.0,0.12,1.31,78.0,78.0,Radical Entertainment,M
[Prototype],PS3,1970,Action,Activision,0.65,0.4,0.0,0.19,1.24,79.0,77.0,Radical Entertainment,M
007 Racing,PS,1970,Racing,Electronic Arts,0.3,0.2,0.0,0.03,0.53,51.0,46.0,Eutechnyx,T
007: Quantum of Solace,X360,1970,Action,Activision,0.82,0.51,0.01,0.14,1.48,65.0,71.0,Treyarch,T
007: Quantum of Solace,PS3,1970,Action,Activision,0.43,0.51,0.02,0.19,1.14,65.0,66.0,Treyarch,T
007: Quantum of Solace,Wii,1970,Action,Activision,0.29,0.28,0.01,0.07,0.65,54.0,75.0,Treyarch,T
007: Quantum of Solace,PC,1970,Action,Activision,0.01,0.01,0.0,0.0,0.03,70.0,63.0,Treyarch,T
007: The World is not Enough,PS,1970,Action,Electronic Arts,0.51,0.35,0.0,0.06,0.92,61.0,67.0,Black Ops Entertainment,T
1 vs. 100,DS,1970,Misc,DSI Games,0.08,0.0,0.0,0.01,0.08,38.0,32.0,ECI,E
1701 A.D.,PC,1970,Simulation,Deep Silver,0.0,0.25,0.0,0.04,0.3,79.0,83.0,Related Designs,E10+
18 Wheeler: American Pro Trucker,PS2,1970,Racing,Acclaim Entertainment,0.2,0.15,0.0,0.05,0.4,61.0,57.0,Acclaim Studios Cheltenham,E
18 Wheeler: American Pro Trucker,GC,1970,Racing,Acclaim Entertainment,0.09,0.02,0.0,0.0,0.11,52.0,68.0,Acclaim Studios Cheltenham,E
187: Ride or Die,PS2,1970,Racing,Ubisoft,0.07,0.06,0.0,0.02,0.15,52.0,68.0,Ubisoft,M
187: Ride or Die,XB,1970,Racing,Ubisoft,0.05,0.01,0.0,0.0,0.06,51.0,69.0,Ubisoft Paris,M
2002 FIFA World Cup,PS2,1970,Sports,Electronic Arts,0.21,0.17,0.16,0.06,0.59,73.0,56.0,EA Sports,E
2002 FIFA World Cup,XB,1970,Sports,Electronic Arts,0.14,0.04,0.0,0.01,0.19,79.0,90.0,Software Creations,E
2002 FIFA World Cup,GC,1970,Sports,Electronic Arts,0.04,0.01,0.0,0.0,0.05,78.0,77.0,EA Sports,E
2010 FIFA World Cup South Africa,PS3,1970,Sports,Electronic Arts,0.3,0.64,0.07,0.22,1.23,82.0,78.0,EA Canada,E
2010 FIFA World Cup South Africa,X360,1970,Sports,Electronic Arts,0.32,0.42,0.02,0.09,0.85,83.0,81.0,Electronic Arts,E
2010 FIFA World Cup South Africa,PSP,1970,Sports,Electronic Arts,0.09,0.22,0.03,0.12,0.46,69.0,74.0,Electronic Arts,E
2010 FIFA World Cup South Africa,Wii,1970,Sports,Electronic Arts,0.23,0.15,0.01,0.04,0.42,70.0,67.0,Electronic Arts,E
2014 FIFA World Cup Brazil,PS3,1970,Sports,Electronic Arts,0.15,0.36,0.01,0.09,0.61,73.0,43.0,EA Canada,E
2014 FIFA World Cup Brazil,X360,1970,Sports,Electronic Arts,0.15,0.25,0.0,0.03,0.42,74.0,44.0,EA Canada,E
24: The Game,PS2,1970,Adventure,Sony Computer Entertainment,0.15,0.12,0.0,0.04,0.3,62.0,82.0,SCE Studio Cambridge,M
25 to Life,PS2,1970,Shooter,Eidos Interactive,0.35,0.01,0.0,0.06,0.42,39.0,49.0,"Ritual Entertainment, Avalanche Software",M
25 to Life,XB,1970,Shooter,Eidos Interactive,0.12,0.04,0.0,0.01,0.17,41.0,72.0,"Ritual Entertainment, Avalanche Software",M
300: March to Glory,PSP,1970,Action,Warner Bros. Interactive Entertainment,0.27,0.08,0.0,0.07,0.41,55.0,71.0,Collision Studios,M
3D Dot Game Heroes,PS3,1970,Role-Playing,SouthPeak Games,0.36,0.11,0.03,0.07,0.57,77.0,80.0,Silicon Studio,E10+
4x4 EVO 2,XB,1970,Racing,Gathering of Developers,0.18,0.05,0.0,0.01,0.24,59.0,62.0,Terminal Reality,E
50 Cent: Blood on the Sand,X360,1970,Shooter,THQ,0.12,0.07,0.0,0.02,0.21,71.0,64.0,Swordfish Studios,M
50 Cent: Blood on the Sand,PS3,1970,Shooter,THQ,0.1,0.06,0.01,0.03,0.19,72.0,72.0,Swordfish Studios,M
50 Cent: Bulletproof,PS2,1970,Action,Vivendi Games,0.85,0.76,0.0,0.16,1.77,47.0,66.0,Genuine Games,M
50 Cent: Bulletproof,XB,1970,Action,Vivendi Games,0.33,0.1,0.0,0.02,0.44,50.0,59.0,Genuine Games,M
7 Days to Die,PS4,1970,Action,Telltale Games,0.04,0.08,0.0,0.02,0.14,45.0,59.0,The Fun Pimps Entertainment LLC,M
7 Days to Die,XOne,1970,Action,Telltale Games,0.03,0.02,0.0,0.0,0.05,35.0,52.0,The Fun Pimps Entertainment LLC,M
7 Wonders of the Ancient World,DS,1970,Puzzle,Funsta,0.1,0.01,0.0,0.01,0.13,60.0,83.0,Hot Lava Games,E
7th Dragon III Code: VFD,3DS,1970,Role-Playing,Sega,0.04,0.0,0.12,0.0,0.17,77.0,82.0,Sega,T
A Boy and His Blob,Wii,1970,Platform,Majesco Entertainment,0.18,0.01,0.0,0.01,0.21,80.0,87.0,WayForward,E
A Vampyre Story,PC,1970,Adventure,Crimson Cow,0.0,0.01,0.0,0.0,0.02,75.0,85.0,Autumn Moon,T
A Witch's Tale,DS,1970,Role-Playing,Nippon Ichi Software,0.08,0.0,0.03,0.01,0.11,50.0,62.0,"Nippon Ichi Software, Hit Maker",E10+
AC/DC LIVE: Rock Band Track Pack,PS3,1970,Misc,MTV Games,0.21,0.01,0.0,0.02,0.24,60.0,53.0,Harmonix Music Systems,T
AC/DC LIVE: Rock Band Track Pack,X360,1970,Misc,MTV Games,0.21,0.0,0.0,0.02,0.23,63.0,49.0,Harmonix Music Systems,T
Academy of Champions: Soccer,Wii,1970,Sports,Ubisoft,0.09,0.02,0.0,0.01,0.12,64.0,68.0,Ubisoft Vancouver,E
Ace Attorney Investigations: Miles Edgeworth,DS,1970,Adventure,Capcom,0.23,0.14,0.3,0.04,0.7,78.0,84.0,Capcom,T
Ace Combat 04: Shattered Skies,PS2,1970,Simulation,Sony Computer Entertainment Europe,2.06,0.56,0.38,0.17,3.17,89.0,91.0,Namco,E
Ace Combat 2,PS,1970,Simulation,Sony Computer Entertainment,0.16,0.11,0.56,0.06,0.89,83.0,82.0,Namco,T
Ace Combat 5: The Unsung War,PS2,1970,Simulation,Sony Computer Entertainment Europe,0.88,0.34,0.32,0.18,1.71,84.0,91.0,Namco,T
Ace Combat 6: Fires of Liberation,X360,1970,Simulation,Atari,0.69,0.04,0.22,0.06,1.01,80.0,79.0,Project Aces,T
Ace Combat X: Skies of Deception,PSP,1970,Simulation,Namco Bandai Games,0.37,0.3,0.12,0.19,0.99,75.0,83.0,Project Aces,T
